001 ; Лестничная клетка                                                                                                  ;        14,49 ;      16280,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        150,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,32 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2630,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         4,18 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2630,0 ;       1470,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         5,59 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       5510,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        13,92 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       5510,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        18,18 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; VII ;         17,8 ;      18760,0 ; 001 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;         14,5 ;      16280,0 ; 010 ;            0
002 ; Коридор                                                                                                            ;        74,28 ;      86580,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        256,2 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,54 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        400,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,84 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        770,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,54 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        770,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,54 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        770,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,54 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        890,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,94 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1050,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,47 ; СТЕНА        ; ГКЛ - обшивка по каркасу С623 55 мм                                                          ; 0      ; Перегородки ГКЛ.АР                                ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1440,0 ;        900,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         2,61 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1790,0 ;       1200,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,14 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1790,0 ;       1200,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,14 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       3170,0 ;       1280,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         7,77 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       3560,0 ;       1900,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         8,77 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;      12600,0 ;       3705,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        33,03 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;      16480,0 ;       8070,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        41,33 ; СТЕНА        ; Кирпич 120 существующий                                                                      ; 0      ; Перегородки кирпич.АР                             ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;      41500,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;       130,65 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; 0      ; Полы.АР                                           ; Пол            ; VII ;         80,3 ;      93400,0 ; 002 ;            1
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Подвесная система PRELUDE 24                                                                 ; 0      ; Потолки.АР                                        ; Потолок        ; П1  ;         74,3 ;      86580,0 ; 002 ;            1
003 ; Лестничная клетка                                                                                                  ;        17,55 ;      18700,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой@Шпатлёвка ж/б плит                                                                ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; ЭО     ; Зоны.АР                                           ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;        135,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,28 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; 0      ; Стены внутренние кирпич.АР                        ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         8,58 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; 0      ; Стены наружные кирпич.АР                          ; 0              ; 0   ; 0            ; 0            ; 0   ; 0           
