001   ; Техническое подполье                                                ;       492,42 ;     116000,0 ;      16000,0 ;       1600,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1800,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,88 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1850,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,96 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         3,20 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2500,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         4,00 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         4,16 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         4,16 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2950,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         4,72 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3450,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         5,52 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3800,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         6,08 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3800,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         6,08 ; СТЕНА  ; Стена ж/б 300 + утеплитель 120 (подземный)                       ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
