       2 ; Б1  ; -;30; ; ;Общая площадь обработки;-;2,682;кв.м.                                          ;       5,364 ; кв.м.          
       2 ; Б1  ; -;40;Б1;ГОСТ 8486-86;Доска: Брус 150x150;-;4,395;п.м.#дерев22,50                        ;       8,790 ; п.м.#дерев22,50
       4 ; Д1  ; -;30; ; ;Общая площадь обработки;-;1,470;кв.м.                                          ;       5,880 ; кв.м.          
       1 ; Д1  ; -;30; ; ;Общая площадь обработки;-;3,975;кв.м.                                          ;       3,975 ; кв.м.          
       1 ; Д1  ; -;30; ; ;Общая площадь обработки;-;4,035;кв.м.                                          ;       4,035 ; кв.м.          
       1 ; Д1  ; -;30; ; ;Общая площадь обработки;-;4,099;кв.м.                                          ;       4,099 ; кв.м.          
      56 ; Д1  ; -;30; ; ;Общая площадь обработки;-;7,080;кв.м.                                          ;     396,480 ; кв.м.          
       1 ; Д1  ; -;40;Д1;ГОСТ 8486-86;Доска: Доска 100x25;-;15,880;п.м.#дерев2,50                        ;      15,880 ; п.м.#дерев2,50 
       1 ; Д1  ; -;40;Д1;ГОСТ 8486-86;Доска: Доска 100x25;-;16,120;п.м.#дерев2,50                        ;      16,120 ; п.м.#дерев2,50 
       1 ; Д1  ; -;40;Д1;ГОСТ 8486-86;Доска: Доска 100x25;-;16,375;п.м.#дерев2,50                        ;      16,375 ; п.м.#дерев2,50 
      56 ; Д1  ; -;40;Д1;ГОСТ 8486-86;Доска: Доска 100x25;-;28,300;п.м.#дерев2,50                        ;    1584,800 ; п.м.#дерев2,50 
       4 ; Д1  ; -;40;Д1;ГОСТ 8486-86;Доска: Доска 100x25;-;5,860;п.м.#дерев2,50                         ;      23,440 ; п.м.#дерев2,50 
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;0,236;кв.м.                                          ;       0,236 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;0,280;кв.м.                                          ;       0,280 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;0,323;кв.м.                                          ;       0,323 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;0,368;кв.м.                                          ;       0,368 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,336;кв.м.                                          ;       1,336 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,358;кв.м.                                          ;       1,358 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,381;кв.м.                                          ;       1,381 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,406;кв.м.                                          ;       1,406 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,427;кв.м.                                          ;       1,427 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,469;кв.м.                                          ;       1,469 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,511;кв.м.                                          ;       1,511 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,553;кв.м.                                          ;       1,553 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,597;кв.м.                                          ;       1,597 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,643;кв.м.                                          ;       1,643 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,684;кв.м.                                          ;       1,684 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,728;кв.м.                                          ;       1,728 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,769;кв.м.                                          ;       1,769 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,813;кв.м.                                          ;       1,813 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,857;кв.м.                                          ;       1,857 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,901;кв.м.                                          ;       1,901 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,944;кв.м.                                          ;       1,944 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;1,988;кв.м.                                          ;       1,988 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,033;кв.м.                                          ;       2,033 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,074;кв.м.                                          ;       2,074 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,118;кв.м.                                          ;       2,118 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,159;кв.м.                                          ;       2,159 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,204;кв.м.                                          ;       2,204 ; кв.м.          
       1 ; Д2  ; -;30; ; ;Общая площадь обработки;-;2,248;кв.м.                                          ;       2,248 ; кв.м.          
