001 ; Лестничная клетка                                                                                                  ;        17,75 ;      18760,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Очистка, шпатлёвка ж/б плит@Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                                       ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; Зоны.АР                                           ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2630,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         8,68 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; Стены наружные кирпич.АР                          ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2630,0 ;       1470,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         5,70 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; Стены внутренние кирпич.АР                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        18,01 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; Стены наружные кирпич.АР                          ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       6750,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;        22,27 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; Стены внутренние кирпич.АР                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ; 0            ; ОБЪЕКТ       ; Передний план                                                                                ; Полы.АР                                           ; Пол    ; VII ;         17,8 ;      18760,0 ; 001 ;            1
002 ; Коридор                                                                                                            ;        80,29 ;      93400,0 ;          0,0 ;       3300,0 ;          0,0 ;              ;              ;          0,0 ; Очистка, шпатлёвка ж/б плит@Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                                       ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ; Окраска негорючей краской класса КМ0, НГ, моющейся, матовой                                                 ;              ; ЗОНА         ; 0                                                                                            ; Зоны.АР                                           ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;         20,0 ;          0,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         0,07 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; Стены внутренние кирпич.АР                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1790,0 ;       1200,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,10 ; СТЕНА        ; Кирпич 120 штукатурка с 2х сторон                                                            ; Перегородки кирпич.АР                             ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       1790,0 ;       1510,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         3,18 ; СТЕНА        ; Кирпич 510 штукатурка с 2х сторон с навесным фасадом                                         ; Стены наружные кирпич.АР                          ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
0   ; 0                                                                                                                  ; 0            ; 0            ; 0            ; 0            ; 0            ;       2960,0 ;       1450,0 ; 0            ; 0                                                                                                                                                             ; 0                                                                                                           ; 0                                                                                                           ; 0                                                                                                           ;         6,84 ; СТЕНА        ; Кирпич 380 штукатурка с 2х сторон                                                            ; Стены внутренние кирпич.АР                        ; 0      ; 0   ; 0            ; 0            ; 0   ; 0           
