ЗОН-001 ; Кладовая ;        42,75 ;        27100 ;            0 ;         3300 ;            0 ;              ;              ;          300 ; Стекло - Сатин ; Стекло - Сатин ; Трава - Зеленая ; Трава - Коричневая ;              ; ЗОНА   ; 0                                ; MV ; Элемент Модели - Зона       ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         4999 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        16,00 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         4999 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        16,00 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         8552 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        27,37 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         8552 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        27,37 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0            ; 0              ; 0              ; 0               ; 0                  ; 0            ; ОБЪЕКТ ; Передний План                    ; 0  ; ARCHICAD                    ; Пол ; 2 ;           50 ;        28898 ; 1 ;            1
ЗОН-002 ; Кладовая ;        42,75 ;        27100 ;            0 ;         3300 ;            0 ;              ;              ;          300 ; Стекло - Сатин ; Стекло - Сатин ; Трава - Зеленая ; Трава - Коричневая ;              ; ЗОНА   ; 0                                ; MV ; Элемент Модели - Зона       ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         4999 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        16,00 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         4999 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        16,00 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         8552 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        27,37 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
0       ; 0        ; 0            ; 0            ; 0            ; 0            ; 0            ;         8552 ;            0 ; 0            ; 0              ; 0              ; 0               ; 0                  ;        27,37 ; СТЕНА  ; Общая Конструкция Стены/Оболочки ; 0  ; Конструктив - Стены Несущие ; 0   ; 0 ; 0            ; 0            ; 0 ; 0           
