1;1, 3, 4, 151, 152, 153, 154, 165, 166, 170, 171, 317,1;1058,4;455,4
2;167;40,2;25,4
3;105, 106, 107,1, 107,2, 110, 111, 112, 113, 115, 116, 118, 119, 122, 127, 129, 130, 131, 132, 136, 145, 146, 148, 149, 156, 157, 158, 159, 160, 163, 222,1, 223, 225, 226, 236, 237, 242, 243, 246, 247, 249, 250, 251,1, 251,2, 253, 254, 270, 271, 318, 320, 321, 331, 332, 333, 334, 336, 337, 404, 405, 406;485;672,7
4;117, 125, 139, 143, 144, 201, 202, 208, 212, 213, 215,1, 215,2, 217, 220, 221, 229, 230, 232, 233, 234, 235, 259, 265, 272, 301, 302, 305, 307, 308, 310, 311, 313, 316, 322, 341, 342, 343, 344, 345, 346, 408, 409, 410, 411;2125,3;1258,4
5;241;545,8;97,7
6;207, 325, 326, 327;346;156
7;141, 142, 239, 240, 256, 257, 402;67,3;87,1
8;101, 102, 103, 104, 108, 109, 114, 120, 121, 123, 124, 126, 128, 133, 134, 135, 137, 138, 140, 141, 147, 150, 155,1, 155,2, 162, 163, 164, 168,1, 168,2, 169, 203, 204, 205, 206, 209, 214, 216,1, 216,2, 218, 219, 222,2, 224, 227, 228, 231, 237, 240, 245,1, 245,2, 252, 255, 257, 258,2, 260, 261, 263, 264, 266, 267, 268, 269, 274, 275, 303, 304, 309, 312, 314, 315, 317,2, 319, 323, 324, 328, 329, 330, 335, 338, 339, 340,2, 401, 403, 412, 413;2763,6;1822
9;238, 244, 248;64,9;59
10;207, 210, 211;56,7;56,2
